"author","title","journal","year","doi_link","article.type"
"Donahue K","Observations of the effect of gonadotropin-releasing hormone analog treatment on psychosocial well-being in transgender youth and their caregivers – a pilot study","Journal of Pediatric Endocrinology and Metabolism",2025,"www.degruyterbrill.com/document/doi/10.1515/jpem-2025-0108/html","Data Analysis"
"Hunter P K","Obstacles to progress in paediatric gender medicine","European Journal of Developmental Psychology",2025,"www.tandfonline.com/doi/full/10.1080/17405629.2025.2546574","Editorial"
"Arnoldussen M","Sexual satisfaction and dysfunction in transgender adults following puberty suppression treatment during adolescence","The Journal of Sexual Medicine",2025,"doi.org/10.1093/jsxmed/qdaf095","Data Analysis"
"ExpósitoCampos P","“Providers had no idea what to do with me”: A mixed-methods analysis of detransition/retransition support, care, and information needs among sexual and gender minority individuals","International Journal of Transgender Health",2025,"www.tandfonline.com/doi/full/10.1080/26895269.2025.2538744","Data Analysis"
"DurazoArvizu R","Mental and Emotional Health of Youth after 24 months of Gender-Affirming Medical Care Initiated with Pubertal Suppression","medRxiv",2025,"www.medrxiv.org/content/10.1101/2025.05.14.25327614v1","Preprint"
"Cohn J","Pediatric gender affirming care is not evidence-based","Current Sexual Health Reports",2025,"link.springer.com/10.1007/s11930-025-00404-w","Review"
"Lahl J","Fertility preservation: is there a model for gender-dysphoric youth?","Frontiers in Endocrinology",2025,"www.frontiersin.org/articles/10.3389/fendo.2025.1386716/full","Review"
"Smids J","A Legal Assessment of the Dutch Protocol for Transgender Care to Children: Evidence, Ethics and Procedure","Family & Law",2025,"www.boomportaal.nl/doi/10.5553/FenR/.000069","Review"
"Stanwich S","Gender-affirming medical treatment for adolescents: A critical reflection on “effective” treatment outcomes","BMC Medical Ethics",2024,"bmcmedethics.biomedcentral.com/articles/10.1186/s12910-024-01143-8","Review"
"Roldan Y M","Mastectomy for individuals with gender dysphoria below 26 years of age: A systematic review and meta-analysis","Plastic and Reconstructive Surgery",2024,"journals.lww.com/10.1097/PRS.0000000000011734","Data Analysis"
"Tusconi M","Gender-affirming hormone therapy and suicide-related outcomes in transgender and gender-diverse populations: a systematic review and meta-analysis","Mental Wellness",2026,"www.mental-wellness-journal.net/mw/article/view/42","Data Analysis"
"Taylor J","Psychosocial support interventions for children and adolescents experiencing gender dysphoria or incongruence: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326347","Data Analysis"
"Taylor J","Impact of social transition in relation to gender for children and adolescents: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326112","Data Analysis"
"Roldan Y M","Puberty blockers for gender dysphoria in youth: A systematic review and meta-analysis","Archives of Disease in Childhood",2025,"adc.bmj.com/content/early/2025/01/29/archdischild-2024-327909","Data Analysis"
"König L","Beyond NICE: Updated systematic review on the current evidence for using puberty blockers and cross-sex hormones in minors with gender dysphoria: Electronic supplementary online materials I: adapted abbreviated English version","Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie",2024,"econtent.hogrefe.com/doi/suppl/10.1024/1422-4917/a000972/suppl_file/1422-4917_a000972_esm1.pdf","Data Analysis"
"Mitchell A","Interventions to suppress puberty in adolescents experiencing gender dysphoria or incongruence: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326669","Data Analysis"
"Sarovic D","A PRISMA systematic review of adolescent gender dysphoria literature: 3) treatment","PLOS Global Public Health",2023,"dx.plos.org/10.1371/journal.pgph.0001478","Data Analysis"
"Adolfsson J","A systematic review of hormone treatment for children with gender dysphoria and recommendations for research","Acta Paediatrica",2023,"onlinelibrary.wiley.com/doi/abs/10.1111/apa.16791","Data Analysis"
"Ibrahim S","Gender affirming hormone therapy for individuals with gender dysphoria aged <26 years: a systematic review and meta-analysis","Archives of Disease in Childhood",2025,"adc.bmj.com/content/early/2025/02/06/archdischild-2024-327921","Data Analysis"
"Mitchell A","Masculinising and feminising hormone interventions for adolescents experiencing gender dysphoria or incongruence: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326670","Data Analysis"
"Borba G D S","The Effect of Gender-Affirming Hormone Therapy on the Risk of Subclinical Atherosclerosis in the Transgender Population: A Systematic Review","Endocrine Practice",2023,"linkinghub.elsevier.com/retrieve/pii/S1530891X22009090","Data Analysis"
"Wilson L M","Hormone Therapy, Mental Health, and Quality of Life Among Transgender People: A Systematic Review","Journal of the Endocrine Society",2021,"academic.oup.com/jes/article/doi/10.1210/jendso/bvab011/6126016","Data Analysis"
"Swanson P","Systematic Review of the Long-Term Effects of Transgender Hormone Therapy on Bone Markers and Bone Mineral Density and Their Potential Effects in Implant Therapy","Journal of Clinical Medicine",2019,"www.mdpi.com/2077-0383/8/6/784","Data Analysis"
"Anderson J","Hormonal Treatment in Young People With Gender Dysphoria: A Systematic Review","Pediatrics",2018,"www.academia.edu/57779740/Hormonal_Treatment_in_Young_People_With_Gender_Dysphoria_A_Systematic_Review","Data Analysis"
"Januś D","Quality of the World Professional Association for Transgender Health Guideline Standards of Care 8: An Appraisal Using the AGREE II Instrument","Archives of Sexual Behavior",2026,"link.springer.com/10.1007/s10508-025-03399-6","Data Analysis"
"BischofbergerBaumann B","Endocrine care of transgender and gender-diverse adults: Swiss recommendations","Swiss Medical Weekly",2026,"smw.ch/index.php/smw/article/view/5059","Review"
"Busiah K","Endocrine Management of Transgender and Gender-Diverse Adolescents: Expert Opinion of the ESPE Working Group on Gender Incongruence and the Endo-ERN Main Thematic Group on Sexual Development and Maturation","Hormone Research in Paediatrics",2024,"doi.org/10.1159/000542904","Review"
"Radix A E","Standards of care for the health of transgender and gender diverse people, version 8","International Journal of Transgender Health",2022,"www.tandfonline.com/doi/full/10.1080/26895269.2022.2100644","Review"
"CohenKettenis P T","Endocrine Treatment of Gender-Dysphoric/Gender-Incongruent Persons: An Endocrine Society Clinical Practice Guideline","Endocrine Practice",2017,"academic.oup.com/jcem/article/102/11/3869/4157558","Review"
"Grignon P","The Influence of Politics on Psychological Interventions for Pediatric Gender Dysphoria","Current Opinion in Psychology",2026,"www.sciencedirect.com/science/article/pii/S2352250X26000503","Review"
"Gorin M","Grandfather Clauses and Medical Transition—Proposed CMS Rules Should Consider Exceptions","JAMA Pediatrics",2026,"jamanetwork.com/journals/jamapediatrics/article-abstract/2849306","Editorial"
"Stamm L","“I’m just providing evidence-based medical care”: experiences of distress in queer and queer-adjacent clinicians providing gender-affirming care","International Journal of Transgender Health",2025,"www.tandfonline.com/doi/full/10.1080/26895269.2025.2559310","Data Analysis"
"Amos A","Gender dysphoria: Reconsidering ethical and iatrogenic factors in clinical practice","Australasian Psychiatry",2023,"http://journals.sagepub.com/doi/10.1177/10398562231211130","Review"
"Abbruzzese E","Current Concerns About Gender-Affirming Therapy in Adolescents","Current Sexual Health Reports",2023,"link.springer.com/10.1007/s11930-023-00358-x","Review"
"Tuisku K","Hormonal and surgical treatment for gender dysphoria in young people – beneﬁcial or not? [Sukupuoliahdistuksen hormonaalinen ja kirurginen hoito nuoruusiässä – hyötyä vai ei?]","Suom Lääkäril [Finnish Medical Journal]",2023,"www.laakarilehti.fi/site/assets/files/654775/article_pdf_73878.pdf","Review"
"Jackson L","Gender dysphoria in young people: The Interim Cass Review and its implications for nursing","Journal of Clinical Nursing",2022,"onlinelibrary.wiley.com/doi/10.1111/jocn.16553","Editorial"
"Roessner V","Editorial Perspective: Medical body modification in youth with gender dysphoria or body dysmorphic disorder – is current practice coherent and evidence‐based?","Journal of Child Psychology and Psychiatry",2022,"onlinelibrary.wiley.com/doi/10.1111/jcpp.13717","Editorial"
"Koseda E","The interim report of the Cass review into the NHS gender identity development service: a discussion","British Journal of Healthcare Management",2022,"http://www.magonlinelibrary.com/doi/10.12968/bjhc.2022.0089","Editorial"
"Jackson L","Gender Dysphoria in children and young people: The implications for clinical staff of the Bell V’s Tavistock Judicial Review and Appeal Ruling","Journal of Clinical Nursing",2021,"onlinelibrary.wiley.com/doi/10.1111/jocn.16164","Editorial"
"Savulescu J","To be, or not to be? The role of the unconscious in transgender transitioning: identity, autonomy and well-being","Journal of Medical Ethics",2021,"jme.bmj.com/lookup/doi/10.1136/medethics-2021-107397","Review"
"Garner M","The communication of evidence to inform trans youth health care","The Lancet Child & Adolescent Health",2021,"www.thelancet.com/journals/lanchi/article/PIIS2352-4642(21)00197-8/abstract","Editorial"
"Hruz P W","Letter to the Editor from William J. Malone et al: “Proper Care of Transgender and Gender-diverse Persons in the Setting of Proposed Discrimination: A Policy Perspective”","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/advance-article/doi/10.1210/clinem/dgab205/6190133","Editorial"
"DavidgePitts C","Proper Care of Transgender and Gender Diverse Persons in the Setting of Proposed Discrimination: A Policy Perspective*","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/article/106/2/305/6031005","Editorial"
"Fortunato A","Gender Diverse Children and Adolescents in Italy: A Qualitative Study on Specialized Centers’ Model of Care and Network","International Journal of Environmental Research and Public Health",2020,"www.mdpi.com/1660-4601/17/24/9536","Data Analysis"
"Verhaak C","Gender incongruence and gender dysphoria in childhood and adolescence—current insights in diagnostics, management, and follow-up","European Journal of Pediatrics",2020,"http://link.springer.com/10.1007/s00431-020-03906-y","Review"
"Clyde K","Sex, gender and gender identity: a re-evaluation of the evidence","BJPsych Bulletin",2020,"www.cambridge.org/core/product/identifier/S205646942000073X/type/journal_article","Editorial"
"Bewley S","Gender dysphoria: scientific oversight falling between responsible institutions should worry us all","BMJ",2019,"www.bmj.com/lookup/doi/10.1136/bmj.l6439","Editorial"
"Carmichael P","Reflections on emerging trends in clinical work with gender diverse children and adolescents","Clinical Child Psychology and Psychiatry",2019,"http://journals.sagepub.com/doi/10.1177/1359104518812924","Review"
"Cretella M","The Right to Best Care for Children Does Not Include the Right to Medical Transition","The American Journal of Bioethics",2019,"www.tandfonline.com/doi/full/10.1080/15265161.2018.1557288","Editorial"
"Bewley S","Redesigning gender identity services: an opportunity to generate evidence","BMJ",2018,"www.bmj.com/lookup/doi/10.1136/bmj.k4490","Editorial"
"Byrne M L","Twenty-five is not a neurobiologically determined age of maturity for gender-affirming medical decision-making","Psychoneuroendocrinology",2025,"www.sciencedirect.com/science/article/pii/S0306453025002781","Editorial"
"Abbruzzese E","What Are We Doing to These Children? Response to Drescher, Clayton, and Balon Commentaries on Levine et al., 2022","Journal of Sex & Marital Therapy",2022,"www.tandfonline.com/doi/full/10.1080/0092623X.2022.2136117","Editorial"
"Abbruzzese E","Reconsidering Informed Consent for Trans-Identified Children, Adolescents, and Young Adults","Journal of Sex & Marital Therapy",2022,"www.tandfonline.com/doi/full/10.1080/0092623X.2022.2046221","Review"
"Garland F","Gender dysphoria in adolescents: can adolescents or parents give valid consent to puberty blockers?","Journal of Medical Ethics",2021,"jme.bmj.com/lookup/doi/10.1136/medethics-2020-106999","Review"
"den Heijer M","From Concept to Protocol: Iterative Approach of a Target Trial Emulation on GnRH Analogue Safety in Transgender and Gender Diverse Youth","European Journal of Endocrinology",2026,"doi.org/10.1093/ejendo/lvag105","Data Analysis"
"Athéa N","Puberty Suppression for Pediatric Gender Dysphoria and the Child’s Right to an Open Future","Archives of Sexual Behavior",2024,"link.springer.com/10.1007/s10508-024-02850-4","Review"
"Vankrunkelsven P","[Uncertainties around the current gender care: five problems with the clinical lesson 'Youth with gender incongruence']","Nederlands Tijdschrift Voor Geneeskunde",2023,"www.ntvg.nl/artikelen/onzekerheden-rond-de-huidige-genderzorg","Editorial"
"Levine S B","The Myth of “Reliable Research” in Pediatric Gender Medicine: A critical evaluation of the Dutch Studies—and research that has followed","Journal of Sex & Marital Therapy",2023,"www.tandfonline.com/doi/full/10.1080/0092623X.2022.2150346","Editorial"
"Hunter P K","Puberty blockers for gender dysphoric youth: A lack of sound science","Journal of the American College of Clinical Pharmacy",2022,"accpjournals.onlinelibrary.wiley.com/doi/full/10.1002/jac5.1691","Editorial"
"Malone W J","Commentary: The Signal and the Noise—questioning the benefits of puberty blockers for youth with gender dysphoria—a commentary on Rew et al. (2021)","Child and Adolescent Mental Health",2021,"onlinelibrary.wiley.com/doi/10.1111/camh.12533","Editorial"
"DAngelo R","Puberty blockers for gender dysphoria: the science is far from settled","The Lancet Child & Adolescent Health",2021,"linkinghub.elsevier.com/retrieve/pii/S2352464221002352","Editorial"
"Earp B D","Forever young? The ethics of ongoing puberty suppression for non-binary adults","Journal of Medical Ethics",2020,"jme.bmj.com/lookup/doi/10.1136/medethics-2019-106012","Case Study"
"Maxwell J","Use of puberty blockers for gender dysphoria: a momentous step in the dark","Archives of Disease in Childhood",2019,"adc.bmj.com/content/104/6/611","Editorial"
"Jorgensen S C J","Correspondence: Psychosocial Functioning in Transgender Youth after Hormones","New England Journal of Medicine",2023,"doi.org/10.1056/nejmc2302030","Editorial"
"Van Mol A","Letter to the Editor from Laidlaw et al: “Erythrocytosis in a Large Cohort of Transgender Men Using Testosterone: A Long-Term Follow-Up Study on Prevalence, Determinants, and Exposure Years”","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/advance-article/doi/10.1210/clinem/dgab514/6326472","Editorial"
"Van Meter Q L","Letter to the Editor: “Endocrine Treatment of Gender-Dysphoric/Gender-Incongruent Persons: An Endocrine Society Clinical Practice Guideline”","The Journal of Clinical Endocrinology & Metabolism",2019,"academic.oup.com/jcem/article/104/3/686/5198654","Editorial"
"Goecker D","Gender Identity Disorders in Childhood and Adolescence","Deutsches Ärzteblatt International",2008,"www.aerzteblatt.de/int/archive/article/62554","Review"
"Belluzzi B","Nonmedical Gender-Affirming Practices in Transgender and Gender Diverse Adolescents: A Narrative Review","Transgender Health",2026,"doi.org/10.1089/trgh.2023.0194","Review"
"Gallagher N M","Stability and Change in Gender Identity and Sexual Orientation Across Childhood and Adolescence","Monographs of the Society for Research in Child Development",2025,"srcd.onlinelibrary.wiley.com/doi/10.1111/mono.12479","Review"
"Kelly A","Is Social Gender Transition Associated with Mental Health Status in Children and Adolescents with Gender Dysphoria?","Archives of Sexual Behavior",2023,"link.springer.com/10.1007/s10508-023-02588-5","Data Analysis"
"Durwood L","Gender Identity 5 Years After Social Transition","Pediatrics",2022,"publications.aap.org/pediatrics/article/doi/10.1542/peds.2021-056082/186992/Gender-Identity-5-Years-After-Social-Transition","Data Analysis"
"Schweizer K","Not social transition status, but peer relations and family functioning predict psychological functioning in a German clinical sample of children with Gender Dysphoria","Clinical Child Psychology and Psychiatry",2020,"http://journals.sagepub.com/doi/10.1177/1359104520964530","Data Analysis"
"Ioverno S","Predictors and Mental Health Benefits of Chosen Name Use Among Transgender Youth","Youth & Society",2019,"http://journals.sagepub.com/doi/10.1177/0044118X19855898","Data Analysis"
"van der Miesen A I R","Childhood social gender transition and psychosocial well-being: A comparison to cisgender gender-variant children","Clinical Practice in Pediatric Psychology",2019,"journals.sagepub.com/doi/10.1037/cpp0000295","Data Analysis"
"Pollitt A M","Chosen Name Use Is Linked to Reduced Depressive Symptoms, Suicidal Ideation, and Suicidal Behavior Among Transgender Youth","The Journal of Adolescent Health: Official Publication of the Society for Adolescent Medicine",2018,"www.jahonline.org/article/S1054-139X(18)30085-5/fulltext","Data Analysis"
"McLaughlin K A","Mental Health and Self-Worth in Socially Transitioned Transgender Youth","Journal of the American Academy of Child & Adolescent Psychiatry",2017,"www.jaacap.org/article/S0890-8567(16)31941-4/abstract","Data Analysis"
"Gardner I","Health impact of chest binding among transgender adults: a community-engaged, cross-sectional study","Culture, Health & Sexuality",2017,"www.tandfonline.com/doi/full/10.1080/13691058.2016.1191675","Data Analysis"
"Sylvester K","P257 Understanding the effects on lung function of chest binder use in the transgender population","Thorax",2016,"thorax.bmj.com/lookup/doi/10.1136/thoraxjnl-2016-209333.400","Conference Abstract"
"Durwood L","Mental Health of Transgender Children Who Are Supported in Their Identities","Pediatrics",2016,"http://pediatrics.aappublications.org/lookup/doi/10.1542/peds.2015-3223","Data Analysis"
"McGuire J K","Factors Associated With Desistence and Persistence of Childhood Gender Dysphoria: A Quantitative Follow-Up Study","Journal of the American Academy of Child & Adolescent Psychiatry",2013,"linkinghub.elsevier.com/retrieve/pii/S0890856713001871","Data Analysis"
"CohenKettenis P T","Clinical management of gender dysphoria in children and adolescents: the Dutch approach","Journal of Homosexuality",2012,"www.tandfonline.com/doi/abs/10.1080/00918369.2012.653300","Review"
"CohenKettenis P T","Gender Transitioning before Puberty?","Archives of Sexual Behavior",2011,"http://link.springer.com/10.1007/s10508-011-9752-2","Editorial"
"Cohn J","Three decades of ‘Dutch Protocol’ research has not produced reliable evidence","European Journal of Developmental Psychology",2026,"doi.org/10.1080/17405629.2026.2680285","Editorial"
"Blalock K","Gender-affirming care for transgender and gender-diverse youth in Oregon: trends over time","Research Connections",2026,"academic.oup.com/rescon/article/doi/10.1093/rescon/vmag049/8657075","Data Analysis"
"Steensma T D","The Dutch approach for transgender adolescents; past, present and future perspectives","European Journal of Developmental Psychology",2026,"www.tandfonline.com/doi/full/10.1080/17405629.2026.2615311","Review"
"Freedman D E P","Psychological Outcomes of 12-15-Year-Olds with Gender Dysphoria Receiving Pubertal Suppression in the UK: Assessing Reliable and Clinically Significant Change","Journal of Sex & Marital Therapy",2023,"www.tandfonline.com/doi/full/10.1080/0092623X.2023.2281986","Data Analysis"
"Hannema S E","Continuation of gender-affirming hormones in transgender people starting puberty suppression in adolescence: a cohort study in the Netherlands","The Lancet Child & Adolescent Health",2022,"pubmed.ncbi.nlm.nih.gov/36273487/","Data Analysis"
"de Vries A L C","Medical decision-making competence regarding puberty suppression: perceptions of transgender adolescents, their parents and clinicians","European Child & Adolescent Psychiatry",2022,"link.springer.com/10.1007/s00787-022-02076-6","Data Analysis"
"Wanta J W","Mental health outcomes in transgender and nonbinary youths receiving gender-affirming care","JAMA Network Open",2022,"jamanetwork.com/journals/jamanetworkopen/fullarticle/2789423","Data Analysis"
"Butler G","Short-term outcomes of pubertal suppression in a selected cohort of 12 to 15 year old young people with persistent gender dysphoria in the UK","PLOS ONE",2021,"dx.plos.org/10.1371/journal.pone.0243894","Data Analysis"
"Pearson B","A Longitudinal Study of Features Associated with Autism Spectrum in Clinic Referred, Gender Diverse Adolescents Accessing Puberty Suppression Treatment","Journal of Autism and Developmental Disorders",2021,"http://link.springer.com/10.1007/s10803-020-04698-8","Data Analysis"
"de Vries A L C","Sexual Experiences of Young Transgender Persons During and After Gender-Affirmative Treatment","Pediatrics",2020,"http://pediatrics.aappublications.org/lookup/doi/10.1542/peds.2019-1411","Data Analysis"
"Wouters F M","Bone Development in Transgender Adolescents Treated With GnRH Analogues and Subsequent Gender-Affirming Hormones","The Journal of Clinical Endocrinology & Metabolism",2020,"academic.oup.com/jcem/article/doi/10.1210/clinem/dgaa604/5903559","Data Analysis"
"Taggart T","Longitudinal impact of gender-affirming endocrine intervention on the mental health and well-being of transgender youths: preliminary results","International Journal of Pediatric Endocrinology",2020,"ijpeonline.biomedcentral.com/articles/10.1186/s13633-020-00078-2","Data Analysis"
"Spritzer P M","Brain Maturation, Cognition and Voice Pattern in a Gender Dysphoria Case under Pubertal Suppression","Frontiers in Human Neuroscience",2017,"http://journal.frontiersin.org/article/10.3389/fnhum.2017.00528/full","Data Analysis"
"Klink D T","Effect of pubertal suppression and cross-sex hormone therapy on bone turnover markers and bone mineral apparent density (BMAD) in transgender adolescents","Bone",2017,"linkinghub.elsevier.com/retrieve/pii/S8756328216303337","Data Analysis"
"CohenKettenis P T","Efficacy and Safety of Gonadotropin-Releasing Hormone Agonist Treatment to Suppress Puberty in Gender Dysphoric Adolescents","The Journal of Sexual Medicine",2016,"linkinghub.elsevier.com/retrieve/pii/S1743609516302193","Data Analysis"
"Caris M","Bone Mass in Young Adulthood Following Gonadotropin-Releasing Hormone Analog Treatment and Cross-Sex Hormone Treatment in Adolescents With Gender Dysphoria","The Journal of Clinical Endocrinology & Metabolism",2015,"academic.oup.com/jcem/article-lookup/doi/10.1210/jc.2014-2439","Data Analysis"
"Dunsford M","Psychological Support, Puberty Suppression, and Psychosocial Functioning in Adolescents with Gender Dysphoria","The Journal of Sexual Medicine",2015,"https://doi.org/10.1111/jsm.13034","Data Analysis"
"McGuire J K","Young Adult Psychological Outcome After Puberty Suppression and Gender Reassignment","Pediatrics",2014,"http://pediatrics.aappublications.org/cgi/doi/10.1542/peds.2013-2958","Data Analysis"
"Steensma T D","Puberty Suppression in Adolescents With Gender Identity Disorder: A Prospective Follow‐Up Study","The Journal of Sexual Medicine",2011,"linkinghub.elsevier.com/retrieve/pii/S1743609515336171","Data Analysis"
"Schagen S E E","Puberty Suppression in a Gender-Dysphoric Adolescent: A 22-Year Follow-Up","Archives of Sexual Behavior",2011,"http://link.springer.com/10.1007/s10508-011-9758-9","Case Study"
"Weiss J","Gonadotrophin-releasing hormone (GnRH) and GnRH agonists: mechanisms of action","Reproductive BioMedicine Online",2002,"www.rbmojournal.com/article/S1472-6483(11)60210-1/abstract","Data Analysis"
"GrasVincendon A","Retrospective Cohort Study of Transgender Adolescents at Strasbourg University Hospital","Children",2026,"www.mdpi.com/2227-9067/13/6/789","Data Analysis"
"Bates S M","Sex Hormone Influences on Venous Thrombotic and Cardiovascular Risk","New England Journal of Medicine",2026,"www.nejm.org/doi/full/10.1056/NEJMra2202438","Review"
"Burgwal A","Socioeconomic status among Dutch adults using gender-affirming hormone therapy: comparison with the general population and trajectories around hormone therapy initiation","International Journal of Transgender Health",2026,"doi.org/10.1080/26895269.2026.2636978","Data Analysis"
"Whitehead J","Anger, Aggression, and Irritability in Transgender and Gender Diverse Youth Following Testosterone Initiation: A 12-Month Longitudinal Analysis","Journal of Adolescent Health",2026,"www.jahonline.org/article/S1054-139X(25)00827-4/","Data Analysis"
"Bueno L H","Heart rate variability in transgender people receiving Gender-Affirming hormone therapy","Endocrine",2026,"link.springer.com/article/10.1007/s12020-025-04512-4","Data Analysis"
"Câmara L C","Cardiovascular mortality associated with testosterone therapy in cisgender women and transgender men: a systematic review","Frontiers in Endocrinology",2026,"www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2026.1789504/full","Data Analysis"
"Bailey S","All-cause and cause-specific mortality among transgender and gender diverse people: a nationwide cohort study in Australia","The Lancet Regional Health – Western Pacific",2026,"www.thelancet.com/journals/lanwpc/article/PIIS2666-6065(26)00017-9/fulltext","Data Analysis"
"Vervalcke J","Effects of gender-affirming hormone therapy from adolescence to adulthood on bone mineral density, body composition and muscle strength","eClinicalMedicine",2026,"linkinghub.elsevier.com/retrieve/pii/S2589537025006595","Data Analysis"
"Giraldo Martínez L D","Cerebral Venous Sinus Thrombosis Associated With Testosterone Use as Gender-Affirming Hormone Therapy in a Transgender Patient: Case Report and Literature Review","Clinical Case Reports",2026,"onlinelibrary.wiley.com/doi/abs/10.1002/ccr3.72714","Case Study"
"Lal M","Emerging and accumulating safety signals for the use of estrogen among transgender women","Discover Mental Health",2025,"doi.org/10.1007/s44192-025-00216-3","Review"
"Freire S N D","Pelvic Floor Dysfunction in Transgender Men on Gender-affirming Hormone Therapy: A Descriptive Cross-sectional Study","International Urogynecology Journal",2024,"link.springer.com/10.1007/s00192-024-05779-3","Data Analysis"
"Wiepjes C M","Changes in depression symptom profile with gender-affirming hormone use in transgender persons","Journal of Affective Disorders",2024,"linkinghub.elsevier.com/retrieve/pii/S0165032723015252","Data Analysis"
"van der Loos M A T C","The dose-dependent effect of estrogen on bone mineral density in trans girls","European Journal of Endocrinology",2023,"academic.oup.com/ejendo/advance-article/doi/10.1093/ejendo/lvad116/7244658","Data Analysis"
"Patterson B C","Adherence to Gender Affirming Hormone Therapy in Transgender Adolescents and Adults: A Retrospective Cohort Study","The Journal of Clinical Endocrinology & Metabolism",2023,"academic.oup.com/jcem/advance-article/doi/10.1210/clinem/dgad306/7184149","Data Analysis"
"Berona J","Psychosocial functioning in transgender youth after 2 years of hormones","New England Journal of Medicine",2023,"http://www.nejm.org/doi/10.1056/NEJMoa2206297","Data Analysis"
"Barrera E","The effect of gender-affirming hormone treatment on serum creatinine in transgender and gender-diverse youth: implications for estimating GFR","Pediatric Nephrology",2022,"link.springer.com/article/10.1007/s00467-022-05445-0","Data Analysis"
"Klein D A","Continuation of Gender-affirming Hormones Among Transgender Adolescents and Adults","The Journal of Clinical Endocrinology & Metabolism",2022,"academic.oup.com/jcem/advance-article/doi/10.1210/clinem/dgac251/6572526","Data Analysis"
"Nash R","Is There a Link Between Hormone Use and Diabetes Incidence in Transgender People? Data from the STRONG Cohort","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/article/107/4/e1549/6429721","Data Analysis"
"Self H","Timing of peripubertal steroid exposure predicts visuospatial cognition in men: Evidence from three samples","Hormones and Behavior",2020,"linkinghub.elsevier.com/retrieve/pii/S0018506X20300386","Data Analysis"
"Heino E","Adolescent development and psychosocial functioning after starting cross-sex hormones for gender dysphoria","Nordic Journal of Psychiatry",2020,"www.tandfonline.com/doi/full/10.1080/08039488.2019.1691260","Data Analysis"
"AbosiAppeadu K","Effects of Gender-Affirming Hormone Therapy on Insulin Sensitivity and Incretin Responses in Transgender People","Diabetes Care",2020,"diabetesjournals.org/care/article/43/2/411/36004/Effects-of-Gender-Affirming-Hormone-Therapy-on","Data Analysis"
"van der Tuuk K","Bone Mineral Density in Transgender Individuals After Gonadectomy and Long-Term Gender-Affirming Hormonal Treatment","The Journal of Sexual Medicine",2019,"linkinghub.elsevier.com/retrieve/pii/S174360951931238X","Data Analysis"
"de Vries M C","Physical changes, laboratory parameters, and bone mineral density during testosterone treatment in adolescents with gender dysphoria","The Journal of Sexual Medicine",2019,"www.sciencedirect.com/science/article/abs/pii/S1743609519312731","Data Analysis"
"Wiepjes C M","Occurrence of Acute Cardiovascular Events in Transgender Individuals Receiving Hormone Therapy: Results From a Large Cohort Study","Circulation",2019,"www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.118.038584","Data Analysis"
"Nash R","Cross-sex Hormones and Acute Cardiovascular Events in Transgender Persons","Annals of internal medicine",2018,"www.ncbi.nlm.nih.gov/pmc/articles/PMC6636681/","Data Analysis"
"Wiepjes C M","The occurrence of benign brain tumours in transgender individuals during cross-sex hormone treatment","Brain",2018,"academic.oup.com/brain/article/141/7/2047/4983052","Data Analysis"
"Okonta V","Physiologic Response to Gender-Affirming Hormones Among Transgender Youth","Journal of Adolescent Health",2018,"linkinghub.elsevier.com/retrieve/pii/S1054139X17304123","Data Analysis"
"Hahn A","Effects of testosterone treatment on hypothalamic neuroplasticity in female-to-male transgender individuals","Brain Structure & Function",2018,"link.springer.com/article/10.1007/s00429-017-1494-z","Data Analysis"
"Hofman D","Testosterone reduces functional connectivity during the ‘Reading the Mind in the Eyes’ Test","Psychoneuroendocrinology",2016,"pmc.ncbi.nlm.nih.gov/articles/PMC6345363/","Data Analysis"
"Paul K K","Risk of Suicide and Self-Harm Following Gender-Affirmation Surgery","Cureus",2024,"www.cureus.com/articles/201512-risk-of-suicide-and-self-harm-following-gender-affirmation-surgery","Data Analysis"
"Weber L E","Major complications of sigmoid vaginoplasty: a case series","Journal of Surgical Case Reports",2023,"academic.oup.com/jscr/article/doi/10.1093/jscr/rjad333/7195771","Data Analysis"
"Pakvasa M","Non-typhoidal Salmonella soft-tissue infection after gender affirming subcutaneous mastectomy case report","Case Reports in Plastic Surgery & Hand Surgery",2023,"www.tandfonline.com/doi/10.1080/23320885.2023.2185621","Case Study"
"Malone W J","Confounding Effects on Mental Health Observations After Sex Reassignment Surgery","American Journal of Psychiatry",2020,"http://ajp.psychiatryonline.org/doi/10.1176/appi.ajp.2020.19111169","Editorial"
