"title","journal","authors","abstract","doi_link","year"
"Testosterone reduces functional connectivity during the ‘Reading the Mind in the Eyes’ Test","Psychoneuroendocrinology","Bos, P. A., Hofman, D., Hermans, E. J., Montoya, E. R., Baron-Cohen, S., van Honk, J.","Bos, P. A., Hofman, D., Hermans, E. J., Montoya, E. R., Baron-Cohen, S., van Honk, J.
(2016)
  Testosterone reduces functional connectivity during the ‘Reading the Mind in the Eyes’ Test.
    Psychoneuroendocrinology","Bos, P. A., Hofman, D., Hermans, E. J., Montoya, E. R., Baron-Cohen, S., van Honk, J.
(2016)
  Testosterone reduces functional connectivity during the ‘Reading the Mind in the Eyes’ Test.
    Psychoneuroendocrinology",2016
"Risk of Suicide and Self-Harm Following Gender-Affirmation Surgery","Cureus","Straub, J. J., Paul, K. K., Bothwell, L. G., Deshazo, S. J., Golovko, G., Miller, M. S., Jehle, D. V.","Straub, J. J., Paul, K. K., Bothwell, L. G., Deshazo, S. J., Golovko, G., Miller, M. S., Jehle, D. V.
(2024)
  Risk of Suicide and Self-Harm Following Gender-Affirmation Surgery.
    Cureus","Straub, J. J., Paul, K. K., Bothwell, L. G., Deshazo, S. J., Golovko, G., Miller, M. S., Jehle, D. V.
(2024)
  Risk of Suicide and Self-Harm Following Gender-Affirmation Surgery.
    Cureus",2024
"Major complications of sigmoid vaginoplasty: a case series","Journal of Surgical Case Reports","Meece, M. S., Weber, L. E., Hernandez, A. E., Danker, S. J., Paluvoi, N. V.","Meece, M. S., Weber, L. E., Hernandez, A. E., Danker, S. J., Paluvoi, N. V.
(2023)
  Major complications of sigmoid vaginoplasty: a case series.
    Journal of Surgical Case Reports","Meece, M. S., Weber, L. E., Hernandez, A. E., Danker, S. J., Paluvoi, N. V.
(2023)
  Major complications of sigmoid vaginoplasty: a case series.
    Journal of Surgical Case Reports",2023
"Non-typhoidal Salmonella soft-tissue infection after gender affirming subcutaneous mastectomy case report","Case Reports in Plastic Surgery & Hand Surgery","Barger, B. T., Pakvasa, M., Lem, M., Ramamurthi, A., Lalezari, S., Tang, C.","Barger, B. T., Pakvasa, M., Lem, M., Ramamurthi, A., Lalezari, S., Tang, C.
(2023)
  Non-typhoidal Salmonella soft-tissue infection after gender affirming subcutaneous mastectomy case report.
    Case Reports in Plastic Surgery & Hand Surgery","Barger, B. T., Pakvasa, M., Lem, M., Ramamurthi, A., Lalezari, S., Tang, C.
(2023)
  Non-typhoidal Salmonella soft-tissue infection after gender affirming subcutaneous mastectomy case report.
    Case Reports in Plastic Surgery & Hand Surgery",2023
"Confounding Effects on Mental Health Observations After Sex Reassignment Surgery","American Journal of Psychiatry","Ring, A., Malone, W. J.","Ring, A., Malone, W. J.
(2020)
  Confounding Effects on Mental Health Observations After Sex Reassignment Surgery.
    American Journal of Psychiatry","Ring, A., Malone, W. J.
(2020)
  Confounding Effects on Mental Health Observations After Sex Reassignment Surgery.
    American Journal of Psychiatry",2020
"Mastectomy in Transgender and Cisgender Patients: A Comparative Analysis of Epidemiology and Postoperative Outcomes","Plastic and Reconstructive Surgery - Global Open","Cuccolo, N. G., Kang, C. O., Boskey, E. R., Ibrahim, A. M., Blankensteijn, L. L., Taghinia, A., Lee, B. T., Lin, S. J., Ganor, O.","Cuccolo, N. G., Kang, C. O., Boskey, E. R., Ibrahim, A. M., Blankensteijn, L. L., Taghinia, A., Lee, B. T., Lin, S. J., Ganor, O.
(2019)
  Mastectomy in Transgender and Cisgender Patients: A Comparative Analysis of Epidemiology and Postoperative Outcomes.
    Plastic and Reconstructive Surgery - Global Open","Cuccolo, N. G., Kang, C. O., Boskey, E. R., Ibrahim, A. M., Blankensteijn, L. L., Taghinia, A., Lee, B. T., Lin, S. J., Ganor, O.
(2019)
  Mastectomy in Transgender and Cisgender Patients: A Comparative Analysis of Epidemiology and Postoperative Outcomes.
    Plastic and Reconstructive Surgery - Global Open",2019
"Masculinizing Top Surgery: A Systematic Review of Techniques and Outcomes","Annals of Plastic Surgery","Wilson, S. C., Morrison, S. D., Anzai, L., Massie, J. P., Poudrier, G., Motosko, C. C., Hazen, A.","Wilson, S. C., Morrison, S. D., Anzai, L., Massie, J. P., Poudrier, G., Motosko, C. C., Hazen, A.
(2018)
  Masculinizing Top Surgery: A Systematic Review of Techniques and Outcomes.
    Annals of Plastic Surgery","Wilson, S. C., Morrison, S. D., Anzai, L., Massie, J. P., Poudrier, G., Motosko, C. C., Hazen, A.
(2018)
  Masculinizing Top Surgery: A Systematic Review of Techniques and Outcomes.
    Annals of Plastic Surgery",2018
"Chest Reconstruction and Chest Dysphoria in Transmasculine Minors and Young Adults: Comparisons of Nonsurgical and Postsurgical Cohorts","JAMA Pediatrics","Olson-Kennedy, J., Warus, J., Okonta, V., Belzer, M., Clark, L. F.","Olson-Kennedy, J., Warus, J., Okonta, V., Belzer, M., Clark, L. F.
(2018)
  Chest Reconstruction and Chest Dysphoria in Transmasculine Minors and Young Adults: Comparisons of Nonsurgical and Postsurgical Cohorts.
    JAMA Pediatrics","Olson-Kennedy, J., Warus, J., Okonta, V., Belzer, M., Clark, L. F.
(2018)
  Chest Reconstruction and Chest Dysphoria in Transmasculine Minors and Young Adults: Comparisons of Nonsurgical and Postsurgical Cohorts.
    JAMA Pediatrics",2018
"Quality of life improvement after chest wall masculinization in female-to-male transgender patients: A prospective study using the BREAST-Q and Body Uneasiness Test","Journal of Plastic, Reconstructive & Aesthetic Surgery","Agarwal, C. A., Scheefer, M. F., Wright, L. N., Walzer, N. K., Rivera, A.","Agarwal, C. A., Scheefer, M. F., Wright, L. N., Walzer, N. K., Rivera, A.
(2018)
  Quality of life improvement after chest wall masculinization in female-to-male transgender patients: A prospective study using the BREAST-Q and Body Uneasiness Test.
    Journal of Plastic, Reconstructive & Aesthetic Surgery","Agarwal, C. A., Scheefer, M. F., Wright, L. N., Walzer, N. K., Rivera, A.
(2018)
  Quality of life improvement after chest wall masculinization in female-to-male transgender patients: A prospective study using the BREAST-Q and Body Uneasiness Test.
    Journal of Plastic, Reconstructive & Aesthetic Surgery",2018
"Body Image in Transmen: Multidimensional Measurement and the Effects of Mastectomy","The Journal of Sexual Medicine","van de Grift, T. C., Kreukels, B. P., Elfering, L., Özer, M., Bouman, M. B., Buncamper, M. E., Smit, J. M., Mullender, M. G.","van de Grift, T. C., Kreukels, B. P., Elfering, L., Özer, M., Bouman, M. B., Buncamper, M. E., Smit, J. M., Mullender, M. G.
(2016)
  Body Image in Transmen: Multidimensional Measurement and the Effects of Mastectomy.
    The Journal of Sexual Medicine","van de Grift, T. C., Kreukels, B. P., Elfering, L., Özer, M., Bouman, M. B., Buncamper, M. E., Smit, J. M., Mullender, M. G.
(2016)
  Body Image in Transmen: Multidimensional Measurement and the Effects of Mastectomy.
    The Journal of Sexual Medicine",2016
"An Analysis of All Applications for Sex Reassignment Surgery in Sweden, 1960–2010: Prevalence, Incidence, and Regrets","Archives of Sexual Behavior","Dhejne, C., Öberg, K., Arver, S., Landén, M.","Dhejne, C., Öberg, K., Arver, S., Landén, M.
(2014)
  An Analysis of All Applications for Sex Reassignment Surgery in Sweden, 1960–2010: Prevalence, Incidence, and Regrets.
    Archives of Sexual Behavior","Dhejne, C., Öberg, K., Arver, S., Landén, M.
(2014)
  An Analysis of All Applications for Sex Reassignment Surgery in Sweden, 1960–2010: Prevalence, Incidence, and Regrets.
    Archives of Sexual Behavior",2014
"Adolescents With Gender Identity Disorder Who Were Accepted or Rejected for Sex Reassignment Surgery: A Prospective Follow-up Study","Journal of the American Academy of Child & Adolescent Psychiatry","Smith, Y. L., Van Goozen, S. H., Cohen-Kettenis, P. T.","Smith, Y. L., Van Goozen, S. H., Cohen-Kettenis, P. T.
(2001)
  Adolescents With Gender Identity Disorder Who Were Accepted or Rejected for Sex Reassignment Surgery: A Prospective Follow-up Study.
    Journal of the American Academy of Child & Adolescent Psychiatry","Smith, Y. L., Van Goozen, S. H., Cohen-Kettenis, P. T.
(2001)
  Adolescents With Gender Identity Disorder Who Were Accepted or Rejected for Sex Reassignment Surgery: A Prospective Follow-up Study.
    Journal of the American Academy of Child & Adolescent Psychiatry",2001
"Treatment of requests for sex-change surgery with psychotherapy","American Journal of Psychiatry","Kirkpatrick, M., Friedmann, C.","Kirkpatrick, M., Friedmann, C.
(1976)
  Treatment of requests for sex-change surgery with psychotherapy.
    American Journal of Psychiatry","Kirkpatrick, M., Friedmann, C.
(1976)
  Treatment of requests for sex-change surgery with psychotherapy.
    American Journal of Psychiatry",1976
"Urethral complications after gender-affirming genital surgery: prevention and reconstructive management","Current Opinion in Urology","Neuville, P., Madec, F. X., Morel-Journel, N.","Neuville, P., Madec, F. X., Morel-Journel, N.
()
  Urethral complications after gender-affirming genital surgery: prevention and reconstructive management.
    Current Opinion in Urology","Neuville, P., Madec, F. X., Morel-Journel, N.
()
  Urethral complications after gender-affirming genital surgery: prevention and reconstructive management.
    Current Opinion in Urology",NA
"Patient-Reported Outcomes and Body Mass Index in Adolescents and Young Adults After Gender-Affirming Chest Surgery: A Single-Center Cross-Sectional Study","Annals of Surgery Open","Haley, C., Younoszai, M., Roblee, C. V., Haugen, P., Araya-Colvin, J., Brydges, H. T., Nguyen, A., Tople, T., Faino, A. V., …, Morrison, S. D.","Haley, C., Younoszai, M., Roblee, C. V., Haugen, P., Araya-Colvin, J., Brydges, H. T., Nguyen, A., Tople, T., Faino, A. V., …, Morrison, S. D.
()
  Patient-Reported Outcomes and Body Mass Index in Adolescents and Young Adults After Gender-Affirming Chest Surgery: A Single-Center Cross-Sectional Study.
    Annals of Surgery Open","Haley, C., Younoszai, M., Roblee, C. V., Haugen, P., Araya-Colvin, J., Brydges, H. T., Nguyen, A., Tople, T., Faino, A. V., …, Morrison, S. D.
()
  Patient-Reported Outcomes and Body Mass Index in Adolescents and Young Adults After Gender-Affirming Chest Surgery: A Single-Center Cross-Sectional Study.
    Annals of Surgery Open",NA
"Bone health in gender-diverse individuals: current challenges and future directions","Hormones","Barouti, K., Vervalcke, J., Van Offel, S., Verroken, C., T’Sjoen, G.","Barouti, K., Vervalcke, J., Van Offel, S., Verroken, C., T’Sjoen, G.
(2026)
  Bone health in gender-diverse individuals: current challenges and future directions.
    Hormones","Barouti, K., Vervalcke, J., Van Offel, S., Verroken, C., T’Sjoen, G.
(2026)
  Bone health in gender-diverse individuals: current challenges and future directions.
    Hormones",2026
"Bone Mineral Density in Transgender Adolescents Treated With Puberty Suppression and Subsequent Gender-Affirming Hormones","JAMA Pediatrics","van der Loos, M. A. T. C., Vlot, M. C., Klink, D. T., Hannema, S. E., Den Heijer, M., Wiepjes, C. M.","van der Loos, M. A. T. C., Vlot, M. C., Klink, D. T., Hannema, S. E., Den Heijer, M., Wiepjes, C. M.
(2023)
  Bone Mineral Density in Transgender Adolescents Treated With Puberty Suppression and Subsequent Gender-Affirming Hormones.
    JAMA Pediatrics","van der Loos, M. A. T. C., Vlot, M. C., Klink, D. T., Hannema, S. E., Den Heijer, M., Wiepjes, C. M.
(2023)
  Bone Mineral Density in Transgender Adolescents Treated With Puberty Suppression and Subsequent Gender-Affirming Hormones.
    JAMA Pediatrics",2023
"Impact of gender-affirming treatment on bone health in transgender and gender diverse youth","Endocrine Connections","Ciancia, S., Dubois, V., Cools, M.","Ciancia, S., Dubois, V., Cools, M.
(2022)
  Impact of gender-affirming treatment on bone health in transgender and gender diverse youth.
    Endocrine Connections","Ciancia, S., Dubois, V., Cools, M.
(2022)
  Impact of gender-affirming treatment on bone health in transgender and gender diverse youth.
    Endocrine Connections",2022
"Changes in Bone Marrow Adipose Tissue in Transgender and Gender Non-Conforming Youth Undergoing Pubertal Suppression: A Pilot Study","Journal of Clinical Densitometry","Nasomyont, N., Meisman, A. R., Ecklund, K., Vajapeyam, S., Cecil, K. M., Tkach, J. A., Altaye, M., Corathers, S. D., Conard, L. A., …, Gordon, C. M.","Nasomyont, N., Meisman, A. R., Ecklund, K., Vajapeyam, S., Cecil, K. M., Tkach, J. A., Altaye, M., Corathers, S. D., Conard, L. A., …, Gordon, C. M.
(2022)
  Changes in Bone Marrow Adipose Tissue in Transgender and Gender Non-Conforming Youth Undergoing Pubertal Suppression: A Pilot Study.
    Journal of Clinical Densitometry","Nasomyont, N., Meisman, A. R., Ecklund, K., Vajapeyam, S., Cecil, K. M., Tkach, J. A., Altaye, M., Corathers, S. D., Conard, L. A., …, Gordon, C. M.
(2022)
  Changes in Bone Marrow Adipose Tissue in Transgender and Gender Non-Conforming Youth Undergoing Pubertal Suppression: A Pilot Study.
    Journal of Clinical Densitometry",2022
"Low Bone Mineral Density in Early Pubertal Transgender/Gender Diverse Youth: Findings From the Trans Youth Care Study","Journal of the Endocrine Society","Lee, J. Y., Finlayson, C., Olson-Kennedy, J., Garofalo, R., Chan, Y. M., Glidden, D. V., Rosenthal, S. M.","Lee, J. Y., Finlayson, C., Olson-Kennedy, J., Garofalo, R., Chan, Y. M., Glidden, D. V., Rosenthal, S. M.
(2020)
  Low Bone Mineral Density in Early Pubertal Transgender/Gender Diverse Youth: Findings From the Trans Youth Care Study.
    Journal of the Endocrine Society","Lee, J. Y., Finlayson, C., Olson-Kennedy, J., Garofalo, R., Chan, Y. M., Glidden, D. V., Rosenthal, S. M.
(2020)
  Low Bone Mineral Density in Early Pubertal Transgender/Gender Diverse Youth: Findings From the Trans Youth Care Study.
    Journal of the Endocrine Society",2020
"The effect of GnRH analogue treatment on bone mineral density in young adolescents with gender dysphoria: findings from a large national cohort","Journal of Pediatric Endocrinology and Metabolism","Joseph, T., Ting, J., Butler, G.","Joseph, T., Ting, J., Butler, G.
(2019)
  The effect of GnRH analogue treatment on bone mineral density in young adolescents with gender dysphoria: findings from a large national cohort.
    Journal of Pediatric Endocrinology and Metabolism","Joseph, T., Ting, J., Butler, G.
(2019)
  The effect of GnRH analogue treatment on bone mineral density in young adolescents with gender dysphoria: findings from a large national cohort.
    Journal of Pediatric Endocrinology and Metabolism",2019
"Osteoporosis and Bone Health in Transgender Persons","Endocrinology and Metabolism Clinics of North America","Stevenson, M. O., Tangpricha, V.","Stevenson, M. O., Tangpricha, V.
(2019)
  Osteoporosis and Bone Health in Transgender Persons.
    Endocrinology and Metabolism Clinics of North America","Stevenson, M. O., Tangpricha, V.
(2019)
  Osteoporosis and Bone Health in Transgender Persons.
    Endocrinology and Metabolism Clinics of North America",2019
"Bone Health in the Transgender Population","Clinical Reviews in Bone and Mineral Metabolism","Rothman, M. S., Iwamoto, S. J.","Rothman, M. S., Iwamoto, S. J.
(2019)
  Bone Health in the Transgender Population.
    Clinical Reviews in Bone and Mineral Metabolism","Rothman, M. S., Iwamoto, S. J.
(2019)
  Bone Health in the Transgender Population.
    Clinical Reviews in Bone and Mineral Metabolism",2019
"The ovaries of transgender men indicate effects of high dose testosterone on the primordial and early growing follicle pool","Reproduction and Fertility","Bailie, E., Maidarti, M., Hawthorn, R., Jack, S., Watson, N., Telfer, E. E., Anderson, R. A.","Bailie, E., Maidarti, M., Hawthorn, R., Jack, S., Watson, N., Telfer, E. E., Anderson, R. A.
(2023)
  The ovaries of transgender men indicate effects of high dose testosterone on the primordial and early growing follicle pool.
    Reproduction and Fertility","Bailie, E., Maidarti, M., Hawthorn, R., Jack, S., Watson, N., Telfer, E. E., Anderson, R. A.
(2023)
  The ovaries of transgender men indicate effects of high dose testosterone on the primordial and early growing follicle pool.
    Reproduction and Fertility",2023
"Desire for children and fertility preservation in transgender and gender-diverse people: A systematic review","Best Practice & Research Clinical Obstetrics & Gynaecology","Stolk, T., Asseler, J., Huirne, J., van den Boogaard, E., van Mello, N.","Stolk, T., Asseler, J., Huirne, J., van den Boogaard, E., van Mello, N.
(2023)
  Desire for children and fertility preservation in transgender and gender-diverse people: A systematic review.
    Best Practice & Research Clinical Obstetrics & Gynaecology","Stolk, T., Asseler, J., Huirne, J., van den Boogaard, E., van Mello, N.
(2023)
  Desire for children and fertility preservation in transgender and gender-diverse people: A systematic review.
    Best Practice & Research Clinical Obstetrics & Gynaecology",2023
"Fertility Options for the Transgender and Gender Nonbinary Patient","The Journal of Clinical Endocrinology and Metabolism","Mayhew, A. C., Gomez-Lobo, V.","Mayhew, A. C., Gomez-Lobo, V.
(2020)
  Fertility Options for the Transgender and Gender Nonbinary Patient.
    The Journal of Clinical Endocrinology and Metabolism","Mayhew, A. C., Gomez-Lobo, V.
(2020)
  Fertility Options for the Transgender and Gender Nonbinary Patient.
    The Journal of Clinical Endocrinology and Metabolism",2020
"Rates of Fertility Preservation Use Among Transgender Adolescents","JAMA Pediatrics","Pang, K. C., Peri, A. J. S., Chung, H. E., Telfer, M., Elder, C. V., Grover, S., Jayasinghe, Y.","Pang, K. C., Peri, A. J. S., Chung, H. E., Telfer, M., Elder, C. V., Grover, S., Jayasinghe, Y.
(2020)
  Rates of Fertility Preservation Use Among Transgender Adolescents.
    JAMA Pediatrics","Pang, K. C., Peri, A. J. S., Chung, H. E., Telfer, M., Elder, C. V., Grover, S., Jayasinghe, Y.
(2020)
  Rates of Fertility Preservation Use Among Transgender Adolescents.
    JAMA Pediatrics",2020
"How do elevated levels of testosterone affect the function of the human fallopian tube and fertility?—New insights","Molecular Reproduction and Development","Dulohery, K., Trottmann, M., Bour, S., Liedl, B., Alba‐Alejandre, I., Reese, S., Hughes, B., Stief, C. G., Kölle, S.","Dulohery, K., Trottmann, M., Bour, S., Liedl, B., Alba‐Alejandre, I., Reese, S., Hughes, B., Stief, C. G., Kölle, S.
(2020)
  How do elevated levels of testosterone affect the function of the human fallopian tube and fertility?—New insights.
    Molecular Reproduction and Development","Dulohery, K., Trottmann, M., Bour, S., Liedl, B., Alba‐Alejandre, I., Reese, S., Hughes, B., Stief, C. G., Kölle, S.
(2020)
  How do elevated levels of testosterone affect the function of the human fallopian tube and fertility?—New insights.
    Molecular Reproduction and Development",2020
"Fertility preservation for transgender adolescents and young adults: a systematic review","Human Reproduction Update","Baram, S., Myers, S. A., Yee, S., Librach, C. L.","Baram, S., Myers, S. A., Yee, S., Librach, C. L.
(2019)
  Fertility preservation for transgender adolescents and young adults: a systematic review.
    Human Reproduction Update","Baram, S., Myers, S. A., Yee, S., Librach, C. L.
(2019)
  Fertility preservation for transgender adolescents and young adults: a systematic review.
    Human Reproduction Update",2019
"Assisted reproductive technology outcomes in female-to-male transgender patients compared with cisgender patients: a new frontier in reproductive medicine","Fertility and Sterility","Leung, A., Sakkas, D., Pang, S., Thornton, K., Resetkova, N.","Leung, A., Sakkas, D., Pang, S., Thornton, K., Resetkova, N.
(2019)
  Assisted reproductive technology outcomes in female-to-male transgender patients compared with cisgender patients: a new frontier in reproductive medicine.
    Fertility and Sterility","Leung, A., Sakkas, D., Pang, S., Thornton, K., Resetkova, N.
(2019)
  Assisted reproductive technology outcomes in female-to-male transgender patients compared with cisgender patients: a new frontier in reproductive medicine.
    Fertility and Sterility",2019
"Fertility concerns of the transgender patient","Translational Andrology and Urology","Cheng, P. J., Pastuszak, A. W., Myers, J. B., Goodwin, I. A., Hotaling, J. M.","Cheng, P. J., Pastuszak, A. W., Myers, J. B., Goodwin, I. A., Hotaling, J. M.
(2019)
  Fertility concerns of the transgender patient.
    Translational Andrology and Urology","Cheng, P. J., Pastuszak, A. W., Myers, J. B., Goodwin, I. A., Hotaling, J. M.
(2019)
  Fertility concerns of the transgender patient.
    Translational Andrology and Urology",2019
"Fertility preservation options in transgender people: A review","Reviews in Endocrine and Metabolic Disorders","Mattawanon, N., Spencer, J. B., Schirmer, D. A., Tangpricha, V.","Mattawanon, N., Spencer, J. B., Schirmer, D. A., Tangpricha, V.
(2018)
  Fertility preservation options in transgender people: A review.
    Reviews in Endocrine and Metabolic Disorders","Mattawanon, N., Spencer, J. B., Schirmer, D. A., Tangpricha, V.
(2018)
  Fertility preservation options in transgender people: A review.
    Reviews in Endocrine and Metabolic Disorders",2018
"Gender Dysphoria: Bioethical Aspects of Medical Treatment","BioMed Research International","Bizic, M. R., Jeftovic, M., Pusica, S., Stojanovic, B., Duisin, D., Vujovic, S., Rakic, V., Djordjevic, M. L.","Bizic, M. R., Jeftovic, M., Pusica, S., Stojanovic, B., Duisin, D., Vujovic, S., Rakic, V., Djordjevic, M. L.
(2018)
  Gender Dysphoria: Bioethical Aspects of Medical Treatment.
    BioMed Research International","Bizic, M. R., Jeftovic, M., Pusica, S., Stojanovic, B., Duisin, D., Vujovic, S., Rakic, V., Djordjevic, M. L.
(2018)
  Gender Dysphoria: Bioethical Aspects of Medical Treatment.
    BioMed Research International",2018
"Low Fertility Preservation Utilization Among Transgender Youth","The Journal of Adolescent Health: Official Publication of the Society for Adolescent Medicine","Nahata, L., Tishelman, A. C., Caltabellotta, N. M., Quinn, G. P.","Nahata, L., Tishelman, A. C., Caltabellotta, N. M., Quinn, G. P.
(2017)
  Low Fertility Preservation Utilization Among Transgender Youth.
    The Journal of Adolescent Health: Official Publication of the Society for Adolescent Medicine","Nahata, L., Tishelman, A. C., Caltabellotta, N. M., Quinn, G. P.
(2017)
  Low Fertility Preservation Utilization Among Transgender Youth.
    The Journal of Adolescent Health: Official Publication of the Society for Adolescent Medicine",2017
"Clinical management of gender identity disorder in adolescents: a protocol on psychological and paediatric endocrinology aspects","European Journal of Endocrinology","Delemarre-van de Waal, H. A., Cohen-Kettenis, P. T.","Delemarre-van de Waal, H. A., Cohen-Kettenis, P. T.
(2006)
  Clinical management of gender identity disorder in adolescents: a protocol on psychological and paediatric endocrinology aspects.
    European Journal of Endocrinology","Delemarre-van de Waal, H. A., Cohen-Kettenis, P. T.
(2006)
  Clinical management of gender identity disorder in adolescents: a protocol on psychological and paediatric endocrinology aspects.
    European Journal of Endocrinology",2006
"Fertility preservation in transgender youth from initial counseling through preservation procedures: A retrospective cross-sectional study","Journal of Pediatric and Adolescent Gynecology","Petriceks, A. C., Maheshwari, C., Murphy, T. E., Butts, S., Roden, R. C.","Petriceks, A. C., Maheshwari, C., Murphy, T. E., Butts, S., Roden, R. C.
()
  Fertility preservation in transgender youth from initial counseling through preservation procedures: A retrospective cross-sectional study.
    Journal of Pediatric and Adolescent Gynecology","Petriceks, A. C., Maheshwari, C., Murphy, T. E., Butts, S., Roden, R. C.
()
  Fertility preservation in transgender youth from initial counseling through preservation procedures: A retrospective cross-sectional study.
    Journal of Pediatric and Adolescent Gynecology",NA
"Semen Quality in Transgender Individuals Seeking Fertility Preservation","Andrology","Ponce, M. D. R., Troka, E., Raffo, M., Caballero, L. M. M., Ferlin, A., Salonia, A., Castañé, E. R., Scala, A., Garolla, A., Group (GIIG), T. G. I. I.","Ponce, M. D. R., Troka, E., Raffo, M., Caballero, L. M. M., Ferlin, A., Salonia, A., Castañé, E. R., Scala, A., Garolla, A., Group (GIIG), T. G. I. I.
()
  Semen Quality in Transgender Individuals Seeking Fertility Preservation.
    Andrology","Ponce, M. D. R., Troka, E., Raffo, M., Caballero, L. M. M., Ferlin, A., Salonia, A., Castañé, E. R., Scala, A., Garolla, A., Group (GIIG), T. G. I. I.
()
  Semen Quality in Transgender Individuals Seeking Fertility Preservation.
    Andrology",NA
"Appraisal of Sexual Life Among Midlife and Older Transgender People in The Netherlands Receiving Long-Term Gender-Affirming Medical Care","Journal of Sex & Marital Therapy","van Heesewijk, J. O., Gieles, N. C., Kreukels, B. P. C.","van Heesewijk, J. O., Gieles, N. C., Kreukels, B. P. C.
(2026)
  Appraisal of Sexual Life Among Midlife and Older Transgender People in The Netherlands Receiving Long-Term Gender-Affirming Medical Care.
    Journal of Sex & Marital Therapy","van Heesewijk, J. O., Gieles, N. C., Kreukels, B. P. C.
(2026)
  Appraisal of Sexual Life Among Midlife and Older Transgender People in The Netherlands Receiving Long-Term Gender-Affirming Medical Care.
    Journal of Sex & Marital Therapy",2026
"Sexuality and erectile function in transgender women prior to gender-affirming surgery: a descriptive study","The Journal of Sexual Medicine","Mesnard, B., Neuville, P., Freton, L., Chelghaf, I., Couteau, N., Morel Journel, N., Madec, F. X.","Mesnard, B., Neuville, P., Freton, L., Chelghaf, I., Couteau, N., Morel Journel, N., Madec, F. X.
(2026)
  Sexuality and erectile function in transgender women prior to gender-affirming surgery: a descriptive study.
    The Journal of Sexual Medicine","Mesnard, B., Neuville, P., Freton, L., Chelghaf, I., Couteau, N., Morel Journel, N., Madec, F. X.
(2026)
  Sexuality and erectile function in transgender women prior to gender-affirming surgery: a descriptive study.
    The Journal of Sexual Medicine",2026
"Clitoral sensation and report of orgasm following vulvoplasty and vaginoplasty surgery in transgender women","The Journal of Sexual Medicine","Rahman, S., Ferrando, C. A.","Rahman, S., Ferrando, C. A.
(2025)
  Clitoral sensation and report of orgasm following vulvoplasty and vaginoplasty surgery in transgender women.
    The Journal of Sexual Medicine","Rahman, S., Ferrando, C. A.
(2025)
  Clitoral sensation and report of orgasm following vulvoplasty and vaginoplasty surgery in transgender women.
    The Journal of Sexual Medicine",2025
"Testosterone use and sexual function among transgender men and gender diverse people assigned female at birth","American Journal of Obstetrics and Gynecology","Tordoff, D. M., Lunn, M. R., Chen, B., Flentje, A., Dastur, Z., Lubensky, M. E., Capriotti, M., Obedin-Maliver, J.","Tordoff, D. M., Lunn, M. R., Chen, B., Flentje, A., Dastur, Z., Lubensky, M. E., Capriotti, M., Obedin-Maliver, J.
(2023)
  Testosterone use and sexual function among transgender men and gender diverse people assigned female at birth.
    American Journal of Obstetrics and Gynecology","Tordoff, D. M., Lunn, M. R., Chen, B., Flentje, A., Dastur, Z., Lubensky, M. E., Capriotti, M., Obedin-Maliver, J.
(2023)
  Testosterone use and sexual function among transgender men and gender diverse people assigned female at birth.
    American Journal of Obstetrics and Gynecology",2023
"Changes in cardiometabolic risk factors in transmasculine individuals over 10 years of Gender-Affirming Hormone Therapy","Journal of Endocrinological Investigation","Azzi, M., Lami, A., Dones, A., Cicero, A. F. G., Siconolfi, A., Seracchioli, R., Meriggiola, M. C.","Azzi, M., Lami, A., Dones, A., Cicero, A. F. G., Siconolfi, A., Seracchioli, R., Meriggiola, M. C.
(2026)
  Changes in cardiometabolic risk factors in transmasculine individuals over 10 years of Gender-Affirming Hormone Therapy.
    Journal of Endocrinological Investigation","Azzi, M., Lami, A., Dones, A., Cicero, A. F. G., Siconolfi, A., Seracchioli, R., Meriggiola, M. C.
(2026)
  Changes in cardiometabolic risk factors in transmasculine individuals over 10 years of Gender-Affirming Hormone Therapy.
    Journal of Endocrinological Investigation",2026
"Response to Dr. Sarah C.J. Jorgensen's letter: Addressing Immortal Time Bias and Methodological Concerns in Testosterone Therapy Research","European Journal of Endocrinology","Bonnet, F., Fauchier, L.","Bonnet, F., Fauchier, L.
(2025)
  Response to Dr. Sarah C.J. Jorgensen's letter: Addressing Immortal Time Bias and Methodological Concerns in Testosterone Therapy Research.
    European Journal of Endocrinology","Bonnet, F., Fauchier, L.
(2025)
  Response to Dr. Sarah C.J. Jorgensen's letter: Addressing Immortal Time Bias and Methodological Concerns in Testosterone Therapy Research.
    European Journal of Endocrinology",2025
"Challenges Estimating the Effects of Testosterone on Health Outcomes in Transgender Men: Immortal Time Bias and Other Methodological Concerns","European Journal of Endocrinology","Jorgensen, S. C. J.","Jorgensen, S. C. J.
(2025)
  Challenges Estimating the Effects of Testosterone on Health Outcomes in Transgender Men: Immortal Time Bias and Other Methodological Concerns.
    European Journal of Endocrinology","Jorgensen, S. C. J.
(2025)
  Challenges Estimating the Effects of Testosterone on Health Outcomes in Transgender Men: Immortal Time Bias and Other Methodological Concerns.
    European Journal of Endocrinology",2025
